date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:15	309234/309234	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3436-4b7f2%22	https://demo.dashboardpack.com/marketing-html/css/style.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/css/style.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:16	0/0	---M--	200	added ('OK')	text/css	etag:%225fbd3477-0%22	https://demo.dashboardpack.com/marketing-html/css/colors/default.css	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/css/colors/default.css	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:17	1062/1062	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a3-426%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/dashboard.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/dashboard.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:18	66563/66563	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd341e-10403%22	https://demo.dashboardpack.com/marketing-html/index_2.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/index_2.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:19	70165/70165	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd341f-11215%22	https://demo.dashboardpack.com/marketing-html/index_3.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/index_3.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:20	1549/1549	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd349e-60d%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/2.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/2.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:21	28328/28328	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3412-6ea8%22	https://demo.dashboardpack.com/marketing-html/calender.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/calender.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:22	27642/27642	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3419-6bfa%22	https://demo.dashboardpack.com/marketing-html/editor.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/editor.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:23	47072/47072	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3422-b7e0%22	https://demo.dashboardpack.com/marketing-html/mail_box.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/mail_box.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:23	40056/40056	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3415-9c78%22	https://demo.dashboardpack.com/marketing-html/chat.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/chat.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:24	45582/45582	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd341b-b20e%22	https://demo.dashboardpack.com/marketing-html/faq.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/faq.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:25	1623/1623	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd349f-657%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/3.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/3.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:25	32904/32904	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3416-8088%22	https://demo.dashboardpack.com/marketing-html/colors.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/colors.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:26	36860/36860	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd340d-8ffc%22	https://demo.dashboardpack.com/marketing-html/Alerts.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Alerts.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:27	37420/37420	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3412-922c%22	https://demo.dashboardpack.com/marketing-html/buttons.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/buttons.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:28	43836/43836	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3424-ab3c%22	https://demo.dashboardpack.com/marketing-html/modal.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/modal.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:28	45470/45470	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3418-b19e%22	https://demo.dashboardpack.com/marketing-html/dropdown.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/dropdown.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:29	31930/31930	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd340f-7cba%22	https://demo.dashboardpack.com/marketing-html/Badges.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Badges.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:30	59540/59540	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3421-e894%22	https://demo.dashboardpack.com/marketing-html/Loading_Indicators.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Loading_Indicators.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
